asset_id,department,asset_type,corridor_id,asset_age_years,base_criticality
EN-0115,Engineering,Rail,C14,1,Medium
EN-0116,Engineering,Rail,C18,2,Low
EN-0117,Engineering,Rail,C09,4,Medium
EN-0118,Engineering,Sleeper,C01,1,High
EN-0119,Engineering,Sleeper,C14,2,Medium
EN-0120,Engineering,Ballast,C03,5,Medium
EN-0121,Engineering,Sleeper,C04,3,Low
EN-0122,Engineering,Rail,C15,2,High
EN-0123,Engineering,Sleeper,C03,5,High
EN-0124,Engineering,Rail,C11,4,Critical
EN-0125,Engineering,Ballast,C02,4,Critical
EN-0126,Engineering,Ballast,C06,1,High
EN-0127,Engineering,Rail,C07,5,High
EN-0128,Engineering,Rail,C01,1,High
EN-0129,Engineering,Rail,C09,5,High
EN-0130,Engineering,Rail,C07,1,Critical
EN-0131,Engineering,Track,C05,2,Low
EN-0132,Engineering,Rail,C16,5,Medium
EN-0133,Engineering,Sleeper,C16,5,Medium
EN-0134,Engineering,Track,C07,4,Medium
EN-0135,Engineering,Ballast,C10,1,Medium
EN-0136,Engineering,Sleeper,C09,5,High
EN-0137,Engineering,Ballast,C02,3,Low
EN-0138,Engineering,Rail,C02,4,Critical
EN-0139,Engineering,Sleeper,C06,1,Medium
EN-0140,Engineering,Sleeper,C01,4,Medium
EN-0141,Engineering,Ballast,C11,2,High
EN-0142,Engineering,Ballast,C02,3,Critical
EN-0143,Engineering,Rail,C14,3,High
EN-0144,Engineering,Ballast,C06,3,Low
EN-0145,Engineering,Rail,C04,5,High
EN-0146,Engineering,Ballast,C18,2,Medium
EN-0147,Engineering,Rail,C02,3,Medium
EN-0148,Engineering,Track,C06,1,High
EN-0149,Engineering,Sleeper,C13,3,Medium
EN-0150,Engineering,Ballast,C09,2,Low
EN-0151,Engineering,Ballast,C01,3,Medium
EN-0152,Engineering,Track,C20,1,Medium
EN-0153,Engineering,Track,C12,2,Medium
EN-0154,Engineering,Rail,C17,2,Low
EN-0155,Engineering,Track,C19,2,Medium
EN-0156,Engineering,Rail,C12,1,Medium
EN-0157,Engineering,Ballast,C04,1,Medium
EN-0158,Engineering,Rail,C02,2,Medium
EN-0159,Engineering,Track,C08,2,Low
EN-0160,Engineering,Rail,C19,1,High
EN-0161,Engineering,Sleeper,C03,2,High
EN-0162,Engineering,Rail,C15,1,Critical
EN-0163,Engineering,Ballast,C15,4,Low
EN-0164,Engineering,Rail,C10,3,Low
EN-0165,Engineering,Track,C19,5,Low
EN-0166,Engineering,Sleeper,C03,5,High
EN-0167,Engineering,Rail,C07,4,High
EN-0168,Engineering,Rail,C10,1,Low
EN-0169,Engineering,Rail,C18,3,Critical
EN-0170,Engineering,Sleeper,C15,1,Medium
EN-0171,Engineering,Rail,C03,3,Critical
EN-0172,Engineering,Ballast,C14,5,Medium
EN-0173,Engineering,Ballast,C09,3,High
EN-0174,Engineering,Ballast,C03,2,Medium
EN-0175,Engineering,Rail,C10,5,High
EN-0176,Engineering,Sleeper,C02,2,High
EN-0177,Engineering,Track,C04,4,Medium
EN-0178,Engineering,Rail,C06,2,High
EN-0179,Engineering,Sleeper,C14,5,High
EN-0180,Engineering,Rail,C16,3,Low
S&-0001,S&T,Track Circuit,C06,1,Medium
S&-0002,S&T,Point Machine,C19,1,High
S&-0003,S&T,Track Circuit,C20,3,Medium
S&-0004,S&T,Signal,C20,1,Medium
S&-0005,S&T,Signal,C01,4,Medium
S&-0006,S&T,Signal,C16,4,Low
S&-0007,S&T,Track Circuit,C12,5,Medium
S&-0008,S&T,Track Circuit,C13,5,Low
S&-0009,S&T,Signal,C01,1,High
S&-0010,S&T,Signal,C12,5,Medium
S&-0011,S&T,Point Machine,C10,1,High
S&-0012,S&T,Track Circuit,C04,4,High
S&-0013,S&T,Signal,C14,3,Medium
S&-0014,S&T,Signal,C18,1,High
S&-0015,S&T,Interlocking,C04,1,Medium
S&-0016,S&T,Signal,C15,2,High
S&-0017,S&T,Signal,C14,1,Critical
S&-0018,S&T,Interlocking,C15,1,Medium
S&-0019,S&T,Interlocking,C20,2,Medium
S&-0020,S&T,Signal,C16,3,High
S&-0021,S&T,Point Machine,C02,4,High
S&-0022,S&T,Point Machine,C11,3,Low
S&-0023,S&T,Interlocking,C13,5,High
S&-0024,S&T,Signal,C02,1,High
S&-0025,S&T,Point Machine,C03,2,Medium
S&-0026,S&T,Interlocking,C04,3,Low
S&-0027,S&T,Signal,C17,5,High
S&-0028,S&T,Track Circuit,C02,1,High
S&-0029,S&T,Interlocking,C08,2,High
S&-0030,S&T,Signal,C05,3,Medium
S&-0031,S&T,Track Circuit,C17,1,Medium
S&-0032,S&T,Point Machine,C08,1,High
S&-0033,S&T,Track Circuit,C02,2,High
S&-0034,S&T,Track Circuit,C18,3,Critical
S&-0035,S&T,Signal,C07,4,Medium
S&-0036,S&T,Interlocking,C02,2,Medium
S&-0037,S&T,Signal,C01,5,Medium
S&-0038,S&T,Signal,C18,1,Critical
S&-0039,S&T,Signal,C18,3,High
S&-0040,S&T,Point Machine,C18,3,High
S&-0041,S&T,Interlocking,C06,5,Medium
S&-0042,S&T,Interlocking,C10,5,High
S&-0043,S&T,Interlocking,C12,5,Medium
S&-0044,S&T,Signal,C02,5,Medium
S&-0045,S&T,Track Circuit,C19,4,High
S&-0046,S&T,Signal,C06,2,Medium
S&-0047,S&T,Point Machine,C06,3,High
S&-0048,S&T,Interlocking,C07,2,High
S&-0049,S&T,Signal,C01,5,Medium
S&-0050,S&T,Track Circuit,C18,1,Medium
S&-0051,S&T,Interlocking,C20,1,High
S&-0052,S&T,Track Circuit,C05,1,Critical
S&-0053,S&T,Interlocking,C06,1,Critical
S&-0054,S&T,Point Machine,C20,4,Critical
S&-0055,S&T,Track Circuit,C17,2,High
S&-0056,S&T,Track Circuit,C16,1,Medium
S&-0057,S&T,Interlocking,C04,5,High
S&-0058,S&T,Track Circuit,C06,1,Medium
S&-0059,S&T,Track Circuit,C13,2,Medium
S&-0060,S&T,Point Machine,C16,5,Medium
S&-0061,S&T,Signal,C05,3,High
S&-0062,S&T,Interlocking,C12,2,Low
S&-0063,S&T,Track Circuit,C11,5,High
S&-0064,S&T,Signal,C20,3,Medium
S&-0065,S&T,Signal,C07,2,Medium
S&-0066,S&T,Signal,C05,1,Low
S&-0067,S&T,Signal,C16,1,Medium
S&-0068,S&T,Interlocking,C04,1,Low
S&-0069,S&T,Track Circuit,C19,1,Medium
S&-0070,S&T,Interlocking,C02,4,Medium
S&-0071,S&T,Interlocking,C02,5,Medium
S&-0072,S&T,Point Machine,C15,2,Medium
S&-0073,S&T,Interlocking,C04,1,Medium
S&-0074,S&T,Point Machine,C12,3,Medium
S&-0075,S&T,Interlocking,C08,3,High
S&-0076,S&T,Track Circuit,C04,3,Medium
S&-0077,S&T,Track Circuit,C17,1,High
S&-0078,S&T,Interlocking,C01,3,Medium
S&-0079,S&T,Track Circuit,C07,4,Medium
S&-0080,S&T,Point Machine,C15,4,Medium
S&-0081,S&T,Track Circuit,C19,1,Critical
S&-0082,S&T,Signal,C13,2,Medium
S&-0083,S&T,Interlocking,C20,3,Critical
S&-0084,S&T,Point Machine,C14,3,High
S&-0085,S&T,Track Circuit,C01,5,Medium
S&-0086,S&T,Interlocking,C17,3,High
S&-0087,S&T,Point Machine,C15,5,Medium
S&-0088,S&T,Point Machine,C18,3,High
S&-0089,S&T,Signal,C07,4,High
S&-0090,S&T,Signal,C03,2,Low
S&-0091,S&T,Track Circuit,C08,5,Critical
S&-0092,S&T,Signal,C05,2,Medium
S&-0093,S&T,Point Machine,C18,5,Medium
S&-0094,S&T,Track Circuit,C16,1,Medium
S&-0095,S&T,Interlocking,C19,1,Critical
S&-0096,S&T,Interlocking,C09,5,Low
S&-0097,S&T,Track Circuit,C13,5,High
S&-0098,S&T,Track Circuit,C12,5,Medium
S&-0099,S&T,Signal,C04,4,Low
S&-0100,S&T,Point Machine,C14,5,High
S&-0101,S&T,Signal,C17,3,Low
S&-0102,S&T,Signal,C19,3,Medium
S&-0103,S&T,Point Machine,C18,4,Critical
S&-0104,S&T,Point Machine,C09,1,High
S&-0105,S&T,Interlocking,C07,2,High
S&-0106,S&T,Interlocking,C03,3,High
S&-0107,S&T,Signal,C08,2,High
S&-0108,S&T,Interlocking,C12,4,Low
S&-0109,S&T,Signal,C09,5,Low
S&-0110,S&T,Interlocking,C19,5,Medium
S&-0111,S&T,Track Circuit,C11,4,Medium
S&-0112,S&T,Track Circuit,C13,1,Low
S&-0113,S&T,Track Circuit,C19,1,High
S&-0114,S&T,Point Machine,C16,1,Medium
S&-0115,S&T,Track Circuit,C07,1,High
S&-0116,S&T,Interlocking,C09,2,Medium
S&-0117,S&T,Point Machine,C18,1,High
S&-0118,S&T,Track Circuit,C20,2,High
S&-0119,S&T,Track Circuit,C12,2,Medium
S&-0120,S&T,Interlocking,C10,5,High
S&-0121,S&T,Track Circuit,C11,5,High
S&-0122,S&T,Point Machine,C01,3,Critical
S&-0123,S&T,Track Circuit,C17,4,Medium
S&-0124,S&T,Signal,C14,3,Medium
S&-0125,S&T,Point Machine,C07,3,Critical
S&-0126,S&T,Point Machine,C01,4,Low
S&-0127,S&T,Signal,C08,4,Medium
S&-0128,S&T,Point Machine,C12,5,Medium
S&-0129,S&T,Track Circuit,C04,2,Low
S&-0130,S&T,Interlocking,C14,1,Low
S&-0131,S&T,Signal,C08,2,Critical
S&-0132,S&T,Track Circuit,C17,1,Critical
S&-0133,S&T,Point Machine,C13,5,High
S&-0134,S&T,Signal,C07,3,High
S&-0135,S&T,Interlocking,C18,4,Medium
S&-0136,S&T,Interlocking,C18,1,High
S&-0137,S&T,Interlocking,C15,3,High
S&-0138,S&T,Interlocking,C02,5,Low
S&-0139,S&T,Point Machine,C09,5,Medium
S&-0140,S&T,Track Circuit,C14,4,Critical
TR-0001,Traction,OHE,C03,3,High
TR-0002,Traction,Feeder,C13,4,High
TR-0003,Traction,Feeder,C07,5,Medium
TR-0004,Traction,Isolator,C17,4,High
TR-0005,Traction,Isolator,C03,2,Low
TR-0006,Traction,Insulator,C04,5,Low
TR-0007,Traction,Feeder,C08,5,High
TR-0008,Traction,Insulator,C20,5,Medium
TR-0009,Traction,Isolator,C03,4,High
TR-0010,Traction,OHE,C12,2,High
TR-0011,Traction,OHE,C20,3,Low
TR-0012,Traction,Insulator,C10,4,Medium
TR-0013,Traction,Isolator,C04,2,High
TR-0014,Traction,OHE,C10,5,High
TR-0015,Traction,Insulator,C15,5,Medium
TR-0016,Traction,Isolator,C16,5,High
TR-0017,Traction,Feeder,C17,2,Medium
TR-0018,Traction,OHE,C15,4,Medium
TR-0019,Traction,Feeder,C02,1,Medium
TR-0020,Traction,Isolator,C09,4,Medium
TR-0021,Traction,Feeder,C19,2,Medium
TR-0022,Traction,Insulator,C08,1,High
TR-0023,Traction,Feeder,C07,4,High
TR-0024,Traction,Insulator,C08,2,Medium
TR-0025,Traction,Feeder,C12,2,Critical
TR-0026,Traction,Insulator,C18,3,Medium
TR-0027,Traction,Insulator,C07,3,High
TR-0028,Traction,Isolator,C09,3,Medium
TR-0029,Traction,Insulator,C05,1,Medium
TR-0030,Traction,Insulator,C10,4,High
TR-0031,Traction,Feeder,C14,3,High
TR-0032,Traction,OHE,C18,3,High
TR-0033,Traction,Insulator,C16,2,Medium
TR-0034,Traction,OHE,C05,2,Medium
TR-0035,Traction,Feeder,C04,2,Low
TR-0036,Traction,OHE,C08,5,Low
TR-0037,Traction,OHE,C04,5,Critical
TR-0038,Traction,Feeder,C17,2,Low
TR-0039,Traction,Insulator,C18,4,High
TR-0040,Traction,Insulator,C11,5,Medium
TR-0041,Traction,Isolator,C01,3,High
TR-0042,Traction,Isolator,C18,1,Medium
TR-0043,Traction,Feeder,C17,1,High
TR-0044,Traction,Feeder,C05,1,Low
TR-0045,Traction,OHE,C20,2,Low
TR-0046,Traction,Isolator,C11,1,Medium
TR-0047,Traction,Insulator,C11,5,High
TR-0048,Traction,Insulator,C17,3,High
TR-0049,Traction,Insulator,C06,5,Critical
TR-0050,Traction,OHE,C16,2,Low
TR-0051,Traction,OHE,C18,4,Medium
TR-0052,Traction,OHE,C06,2,High
TR-0053,Traction,Isolator,C12,4,Medium
TR-0054,Traction,Isolator,C04,4,Medium
TR-0055,Traction,OHE,C20,2,High
TR-0056,Traction,OHE,C17,4,High
TR-0057,Traction,Feeder,C10,1,High
TR-0058,Traction,Feeder,C05,3,Critical
TR-0059,Traction,OHE,C19,1,Medium
TR-0060,Traction,OHE,C15,1,Low
TR-0061,Traction,Feeder,C09,5,Medium
TR-0062,Traction,Insulator,C18,4,Medium
TR-0063,Traction,Insulator,C09,4,Critical
TR-0064,Traction,Insulator,C19,2,Critical
TR-0065,Traction,Feeder,C12,3,Medium
TR-0066,Traction,OHE,C09,5,Low
TR-0067,Traction,OHE,C06,2,Low
TR-0068,Traction,OHE,C16,1,Medium
TR-0069,Traction,Isolator,C13,4,Medium
TR-0070,Traction,OHE,C13,2,Critical
TR-0071,Traction,OHE,C10,4,Medium
TR-0072,Traction,OHE,C03,2,High
TR-0073,Traction,Insulator,C16,2,Medium
TR-0074,Traction,Insulator,C14,5,High
TR-0075,Traction,Feeder,C11,4,Medium
TR-0076,Traction,OHE,C02,5,Medium
TR-0077,Traction,Insulator,C02,3,High
TR-0078,Traction,Insulator,C13,4,Medium
TR-0079,Traction,Feeder,C07,1,Critical
TR-0080,Traction,Isolator,C10,3,Critical
TR-0081,Traction,OHE,C06,4,Medium
TR-0082,Traction,Feeder,C07,1,High
TR-0083,Traction,OHE,C01,2,Medium
TR-0084,Traction,Isolator,C18,1,Critical
TR-0085,Traction,Insulator,C10,3,Medium
TR-0086,Traction,Isolator,C06,3,Low
TR-0087,Traction,Isolator,C16,4,Critical
TR-0088,Traction,Feeder,C14,5,Low
TR-0089,Traction,Insulator,C19,1,High
TR-0090,Traction,Feeder,C10,5,Medium
TR-0091,Traction,OHE,C03,5,Medium
TR-0092,Traction,OHE,C10,5,Medium
TR-0093,Traction,Insulator,C08,5,High
TR-0094,Traction,Insulator,C13,2,Critical
TR-0095,Traction,Feeder,C04,2,High
TR-0096,Traction,Feeder,C09,2,High
TR-0097,Traction,Insulator,C08,5,Critical
TR-0098,Traction,OHE,C05,4,High
TR-0099,Traction,Isolator,C13,2,Medium
TR-0100,Traction,Isolator,C09,2,Medium
TR-0101,Traction,Feeder,C06,3,High
TR-0102,Traction,OHE,C14,4,Medium
TR-0103,Traction,Isolator,C20,4,High
TR-0104,Traction,Insulator,C11,1,High
TR-0105,Traction,OHE,C17,5,Medium
TR-0106,Traction,Isolator,C09,5,Critical
TR-0107,Traction,Insulator,C16,5,Critical
TR-0108,Traction,Isolator,C10,2,Critical
TR-0109,Traction,OHE,C18,1,High
TR-0110,Traction,Isolator,C06,3,Critical
TR-0111,Traction,OHE,C03,1,Medium
TR-0112,Traction,Isolator,C02,2,Medium
TR-0113,Traction,OHE,C07,3,Low
TR-0114,Traction,Isolator,C01,1,Critical
TR-0115,Traction,OHE,C04,5,Medium
TR-0116,Traction,Insulator,C20,4,Low
TR-0117,Traction,OHE,C15,2,High
TR-0118,Traction,Feeder,C20,4,High
TR-0119,Traction,Isolator,C03,3,Critical
TR-0120,Traction,Isolator,C19,5,High
TR-0121,Traction,Insulator,C14,2,Critical
TR-0122,Traction,Isolator,C20,5,Medium
TR-0123,Traction,Insulator,C13,5,Medium
TR-0124,Traction,OHE,C03,4,Medium
TR-0125,Traction,OHE,C07,5,Low
TR-0126,Traction,Feeder,C05,1,Medium
TR-0127,Traction,Feeder,C16,3,High
TR-0128,Traction,OHE,C01,4,Critical
TR-0129,Traction,Insulator,C04,2,Medium
TR-0130,Traction,Isolator,C14,2,Medium
