block_id,day,corridor_id,subsection_id,work_area_id,from_station,to_station,start_time,end_time,available,block_type,availability_source,derived_safe_window,safety_buffer_minutes
B-00020,Monday,C01,C01-S04,C01-WA04,ST01,ST02,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00021,Monday,C01,C01-S04,C01-WA04,ST01,ST02,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00022,Monday,C01,C01-S04,C01-WA04,ST01,ST02,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00023,Monday,C01,C01-S04,C01-WA04,ST01,ST02,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00024,Monday,C01,C01-S04,C01-WA04,ST01,ST02,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00025,Monday,C02,C02-S01,C02-WA01,ST02,ST03,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00026,Monday,C02,C02-S01,C02-WA01,ST02,ST03,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00027,Monday,C02,C02-S01,C02-WA01,ST02,ST03,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00028,Monday,C02,C02-S01,C02-WA01,ST02,ST03,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00029,Monday,C02,C02-S01,C02-WA01,ST02,ST03,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00030,Monday,C02,C02-S01,C02-WA01,ST02,ST03,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00031,Monday,C02,C02-S02,C02-WA02,ST02,ST03,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00032,Monday,C02,C02-S02,C02-WA02,ST02,ST03,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00033,Monday,C02,C02-S02,C02-WA02,ST02,ST03,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00034,Monday,C02,C02-S02,C02-WA02,ST02,ST03,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00035,Monday,C02,C02-S02,C02-WA02,ST02,ST03,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00036,Monday,C02,C02-S02,C02-WA02,ST02,ST03,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00037,Monday,C02,C02-S03,C02-WA03,ST02,ST03,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00038,Monday,C02,C02-S03,C02-WA03,ST02,ST03,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00039,Monday,C02,C02-S03,C02-WA03,ST02,ST03,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00040,Monday,C02,C02-S03,C02-WA03,ST02,ST03,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00041,Monday,C02,C02-S03,C02-WA03,ST02,ST03,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00042,Monday,C02,C02-S03,C02-WA03,ST02,ST03,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00043,Monday,C02,C02-S04,C02-WA04,ST02,ST03,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00044,Monday,C02,C02-S04,C02-WA04,ST02,ST03,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00045,Monday,C02,C02-S04,C02-WA04,ST02,ST03,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00046,Monday,C02,C02-S04,C02-WA04,ST02,ST03,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00047,Monday,C02,C02-S04,C02-WA04,ST02,ST03,13:30,16:30,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00048,Monday,C02,C02-S04,C02-WA04,ST02,ST03,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00049,Monday,C03,C03-S01,C03-WA01,ST03,ST04,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00050,Monday,C03,C03-S01,C03-WA01,ST03,ST04,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00051,Monday,C03,C03-S01,C03-WA01,ST03,ST04,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00052,Monday,C03,C03-S01,C03-WA01,ST03,ST04,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00053,Monday,C03,C03-S01,C03-WA01,ST03,ST04,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00054,Monday,C03,C03-S01,C03-WA01,ST03,ST04,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00055,Monday,C03,C03-S02,C03-WA02,ST03,ST04,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00056,Monday,C03,C03-S02,C03-WA02,ST03,ST04,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00057,Monday,C03,C03-S02,C03-WA02,ST03,ST04,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00058,Monday,C03,C03-S02,C03-WA02,ST03,ST04,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00059,Monday,C03,C03-S02,C03-WA02,ST03,ST04,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00060,Monday,C03,C03-S02,C03-WA02,ST03,ST04,23:00,01:45,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00061,Monday,C03,C03-S03,C03-WA03,ST03,ST04,00:30,03:15,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00062,Monday,C03,C03-S03,C03-WA03,ST03,ST04,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00063,Monday,C03,C03-S03,C03-WA03,ST03,ST04,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00064,Monday,C03,C03-S03,C03-WA03,ST03,ST04,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00065,Monday,C03,C03-S03,C03-WA03,ST03,ST04,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00066,Monday,C03,C03-S03,C03-WA03,ST03,ST04,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00067,Monday,C03,C03-S04,C03-WA04,ST03,ST04,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00068,Monday,C03,C03-S04,C03-WA04,ST03,ST04,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00069,Monday,C03,C03-S04,C03-WA04,ST03,ST04,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00070,Monday,C03,C03-S04,C03-WA04,ST03,ST04,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00071,Monday,C03,C03-S04,C03-WA04,ST03,ST04,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00072,Monday,C03,C03-S04,C03-WA04,ST03,ST04,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00073,Monday,C04,C04-S01,C04-WA01,ST04,ST05,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00074,Monday,C04,C04-S01,C04-WA01,ST04,ST05,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00075,Monday,C04,C04-S01,C04-WA01,ST04,ST05,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00076,Monday,C04,C04-S01,C04-WA01,ST04,ST05,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00077,Monday,C04,C04-S01,C04-WA01,ST04,ST05,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00078,Monday,C04,C04-S01,C04-WA01,ST04,ST05,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00079,Monday,C04,C04-S02,C04-WA02,ST04,ST05,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00080,Monday,C04,C04-S02,C04-WA02,ST04,ST05,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00081,Monday,C04,C04-S02,C04-WA02,ST04,ST05,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00082,Monday,C04,C04-S02,C04-WA02,ST04,ST05,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00083,Monday,C04,C04-S02,C04-WA02,ST04,ST05,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00084,Monday,C04,C04-S02,C04-WA02,ST04,ST05,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00085,Monday,C04,C04-S03,C04-WA03,ST04,ST05,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00086,Monday,C04,C04-S03,C04-WA03,ST04,ST05,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00087,Monday,C04,C04-S03,C04-WA03,ST04,ST05,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00088,Monday,C04,C04-S03,C04-WA03,ST04,ST05,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00089,Monday,C04,C04-S03,C04-WA03,ST04,ST05,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00090,Monday,C04,C04-S03,C04-WA03,ST04,ST05,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00091,Monday,C04,C04-S04,C04-WA04,ST04,ST05,00:30,03:15,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00092,Monday,C04,C04-S04,C04-WA04,ST04,ST05,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00093,Monday,C04,C04-S04,C04-WA04,ST04,ST05,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00094,Monday,C04,C04-S04,C04-WA04,ST04,ST05,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00095,Monday,C04,C04-S04,C04-WA04,ST04,ST05,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00096,Monday,C04,C04-S04,C04-WA04,ST04,ST05,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00097,Tuesday,C01,C01-S01,C01-WA01,ST01,ST02,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00098,Tuesday,C01,C01-S01,C01-WA01,ST01,ST02,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00099,Tuesday,C01,C01-S01,C01-WA01,ST01,ST02,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00100,Tuesday,C01,C01-S01,C01-WA01,ST01,ST02,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00101,Tuesday,C01,C01-S01,C01-WA01,ST01,ST02,13:30,16:30,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00102,Tuesday,C01,C01-S01,C01-WA01,ST01,ST02,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00103,Tuesday,C01,C01-S02,C01-WA02,ST01,ST02,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00104,Tuesday,C01,C01-S02,C01-WA02,ST01,ST02,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00105,Tuesday,C01,C01-S02,C01-WA02,ST01,ST02,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00106,Tuesday,C01,C01-S02,C01-WA02,ST01,ST02,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00107,Tuesday,C01,C01-S02,C01-WA02,ST01,ST02,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00108,Tuesday,C01,C01-S02,C01-WA02,ST01,ST02,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00109,Tuesday,C01,C01-S03,C01-WA03,ST01,ST02,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00110,Tuesday,C01,C01-S03,C01-WA03,ST01,ST02,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00111,Tuesday,C01,C01-S03,C01-WA03,ST01,ST02,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00112,Tuesday,C01,C01-S03,C01-WA03,ST01,ST02,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00113,Tuesday,C01,C01-S03,C01-WA03,ST01,ST02,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00114,Tuesday,C01,C01-S03,C01-WA03,ST01,ST02,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00115,Tuesday,C01,C01-S04,C01-WA04,ST01,ST02,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00116,Tuesday,C01,C01-S04,C01-WA04,ST01,ST02,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00117,Tuesday,C01,C01-S04,C01-WA04,ST01,ST02,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00118,Tuesday,C01,C01-S04,C01-WA04,ST01,ST02,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00119,Tuesday,C01,C01-S04,C01-WA04,ST01,ST02,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00120,Tuesday,C01,C01-S04,C01-WA04,ST01,ST02,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00121,Tuesday,C02,C02-S01,C02-WA01,ST02,ST03,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00122,Tuesday,C02,C02-S01,C02-WA01,ST02,ST03,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00123,Tuesday,C02,C02-S01,C02-WA01,ST02,ST03,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00124,Tuesday,C02,C02-S01,C02-WA01,ST02,ST03,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00125,Tuesday,C02,C02-S01,C02-WA01,ST02,ST03,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00126,Tuesday,C02,C02-S01,C02-WA01,ST02,ST03,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00127,Tuesday,C02,C02-S02,C02-WA02,ST02,ST03,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00128,Tuesday,C02,C02-S02,C02-WA02,ST02,ST03,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00129,Tuesday,C02,C02-S02,C02-WA02,ST02,ST03,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00130,Tuesday,C02,C02-S02,C02-WA02,ST02,ST03,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00131,Tuesday,C02,C02-S02,C02-WA02,ST02,ST03,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00132,Tuesday,C02,C02-S02,C02-WA02,ST02,ST03,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00133,Tuesday,C02,C02-S03,C02-WA03,ST02,ST03,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00134,Tuesday,C02,C02-S03,C02-WA03,ST02,ST03,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00135,Tuesday,C02,C02-S03,C02-WA03,ST02,ST03,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00136,Tuesday,C02,C02-S03,C02-WA03,ST02,ST03,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00137,Tuesday,C02,C02-S03,C02-WA03,ST02,ST03,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00138,Tuesday,C02,C02-S03,C02-WA03,ST02,ST03,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00139,Tuesday,C02,C02-S04,C02-WA04,ST02,ST03,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00140,Tuesday,C02,C02-S04,C02-WA04,ST02,ST03,01:00,04:00,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00141,Tuesday,C02,C02-S04,C02-WA04,ST02,ST03,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00142,Tuesday,C02,C02-S04,C02-WA04,ST02,ST03,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00143,Tuesday,C02,C02-S04,C02-WA04,ST02,ST03,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00144,Tuesday,C02,C02-S04,C02-WA04,ST02,ST03,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00145,Tuesday,C03,C03-S01,C03-WA01,ST03,ST04,00:30,03:15,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00146,Tuesday,C03,C03-S01,C03-WA01,ST03,ST04,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00147,Tuesday,C03,C03-S01,C03-WA01,ST03,ST04,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00148,Tuesday,C03,C03-S01,C03-WA01,ST03,ST04,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00149,Tuesday,C03,C03-S01,C03-WA01,ST03,ST04,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00150,Tuesday,C03,C03-S01,C03-WA01,ST03,ST04,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00151,Tuesday,C03,C03-S02,C03-WA02,ST03,ST04,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00152,Tuesday,C03,C03-S02,C03-WA02,ST03,ST04,01:00,04:00,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00153,Tuesday,C03,C03-S02,C03-WA02,ST03,ST04,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00154,Tuesday,C03,C03-S02,C03-WA02,ST03,ST04,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00155,Tuesday,C03,C03-S02,C03-WA02,ST03,ST04,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00156,Tuesday,C03,C03-S02,C03-WA02,ST03,ST04,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00157,Tuesday,C03,C03-S03,C03-WA03,ST03,ST04,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00158,Tuesday,C03,C03-S03,C03-WA03,ST03,ST04,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00159,Tuesday,C03,C03-S03,C03-WA03,ST03,ST04,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00160,Tuesday,C03,C03-S03,C03-WA03,ST03,ST04,10:30,13:15,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00161,Tuesday,C03,C03-S03,C03-WA03,ST03,ST04,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00162,Tuesday,C03,C03-S03,C03-WA03,ST03,ST04,23:00,01:45,0,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00163,Tuesday,C03,C03-S04,C03-WA04,ST03,ST04,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00164,Tuesday,C03,C03-S04,C03-WA04,ST03,ST04,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00165,Tuesday,C03,C03-S04,C03-WA04,ST03,ST04,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00166,Tuesday,C03,C03-S04,C03-WA04,ST03,ST04,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00167,Tuesday,C03,C03-S04,C03-WA04,ST03,ST04,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00168,Tuesday,C03,C03-S04,C03-WA04,ST03,ST04,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00169,Tuesday,C04,C04-S01,C04-WA01,ST04,ST05,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00170,Tuesday,C04,C04-S01,C04-WA01,ST04,ST05,01:00,04:00,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00171,Tuesday,C04,C04-S01,C04-WA01,ST04,ST05,02:00,04:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00172,Tuesday,C04,C04-S01,C04-WA01,ST04,ST05,10:30,13:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00173,Tuesday,C04,C04-S01,C04-WA01,ST04,ST05,13:30,16:30,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00174,Tuesday,C04,C04-S01,C04-WA01,ST04,ST05,23:00,01:45,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
B-00175,Tuesday,C04,C04-S02,C04-WA02,ST04,ST05,00:30,03:15,1,ROUTINE_BLOCK,PLANNED_BLOCK_WINDOW,False,15
