block_id,corridor_id,date,start_time,end_time,available,expected_train_count,traffic_level
B-000130,C11,2026-08-25,18:00,20:00,0,5,MEDIUM
B-000131,C11,2026-08-25,20:00,22:00,0,5,MEDIUM
B-000132,C11,2026-08-25,22:00,00:00,1,4,MEDIUM
B-000133,C12,2026-08-25,00:00,02:00,0,3,MEDIUM
B-000134,C12,2026-08-25,02:00,04:00,1,1,LOW
B-000135,C12,2026-08-25,04:00,06:00,1,1,LOW
B-000136,C12,2026-08-25,06:00,08:00,1,2,LOW
B-000137,C12,2026-08-25,08:00,10:00,0,5,MEDIUM
B-000138,C12,2026-08-25,10:00,12:00,1,4,MEDIUM
B-000139,C12,2026-08-25,12:00,14:00,1,1,LOW
B-000140,C12,2026-08-25,14:00,16:00,1,3,MEDIUM
B-000141,C12,2026-08-25,16:00,18:00,1,3,MEDIUM
B-000142,C12,2026-08-25,18:00,20:00,1,4,MEDIUM
B-000143,C12,2026-08-25,20:00,22:00,0,5,MEDIUM
B-000144,C12,2026-08-25,22:00,00:00,1,3,MEDIUM
B-000145,C13,2026-08-25,00:00,02:00,1,3,MEDIUM
B-000146,C13,2026-08-25,02:00,04:00,1,4,MEDIUM
B-000147,C13,2026-08-25,04:00,06:00,1,4,MEDIUM
B-000148,C13,2026-08-25,06:00,08:00,1,1,LOW
B-000149,C13,2026-08-25,08:00,10:00,0,9,HIGH
B-000150,C13,2026-08-25,10:00,12:00,1,4,MEDIUM
B-000151,C13,2026-08-25,12:00,14:00,1,1,LOW
B-000152,C13,2026-08-25,14:00,16:00,0,5,MEDIUM
B-000153,C13,2026-08-25,16:00,18:00,0,8,HIGH
B-000154,C13,2026-08-25,18:00,20:00,0,5,MEDIUM
B-000155,C13,2026-08-25,20:00,22:00,0,5,MEDIUM
B-000156,C13,2026-08-25,22:00,00:00,1,2,LOW
B-000157,C14,2026-08-25,00:00,02:00,1,2,LOW
B-000158,C14,2026-08-25,02:00,04:00,1,1,LOW
B-000159,C14,2026-08-25,04:00,06:00,1,3,MEDIUM
B-000160,C14,2026-08-25,06:00,08:00,0,5,MEDIUM
B-000161,C14,2026-08-25,08:00,10:00,0,8,HIGH
B-000162,C14,2026-08-25,10:00,12:00,0,8,HIGH
B-000163,C14,2026-08-25,12:00,14:00,1,2,LOW
B-000164,C14,2026-08-25,14:00,16:00,1,2,LOW
B-000165,C14,2026-08-25,16:00,18:00,1,1,LOW
B-000166,C14,2026-08-25,18:00,20:00,0,11,HIGH
B-000167,C14,2026-08-25,20:00,22:00,0,6,HIGH
B-000168,C14,2026-08-25,22:00,00:00,0,2,LOW
B-000169,C15,2026-08-25,00:00,02:00,1,2,LOW
B-000170,C15,2026-08-25,02:00,04:00,1,4,MEDIUM
B-000171,C15,2026-08-25,04:00,06:00,1,2,LOW
B-000172,C15,2026-08-25,06:00,08:00,1,0,LOW
B-000173,C15,2026-08-25,08:00,10:00,0,5,MEDIUM
B-000174,C15,2026-08-25,10:00,12:00,1,3,MEDIUM
B-000175,C15,2026-08-25,12:00,14:00,1,4,MEDIUM
B-000176,C15,2026-08-25,14:00,16:00,1,4,MEDIUM
B-000177,C15,2026-08-25,16:00,18:00,1,3,MEDIUM
B-000178,C15,2026-08-25,18:00,20:00,0,6,HIGH
B-000179,C15,2026-08-25,20:00,22:00,1,4,MEDIUM
B-000180,C15,2026-08-25,22:00,00:00,1,0,LOW
B-000181,C16,2026-08-25,00:00,02:00,1,3,MEDIUM
B-000182,C16,2026-08-25,02:00,04:00,1,2,LOW
B-000183,C16,2026-08-25,04:00,06:00,1,2,LOW
B-000184,C16,2026-08-25,06:00,08:00,1,2,LOW
B-000185,C16,2026-08-25,08:00,10:00,0,6,HIGH
B-000186,C16,2026-08-25,10:00,12:00,0,7,HIGH
B-000187,C16,2026-08-25,12:00,14:00,1,2,LOW
B-000188,C16,2026-08-25,14:00,16:00,1,2,LOW
B-000189,C16,2026-08-25,16:00,18:00,1,4,MEDIUM
B-000190,C16,2026-08-25,18:00,20:00,0,5,MEDIUM
B-000191,C16,2026-08-25,20:00,22:00,0,7,HIGH
B-000192,C16,2026-08-25,22:00,00:00,1,3,MEDIUM
B-000193,C17,2026-08-25,00:00,02:00,1,0,LOW
B-000194,C17,2026-08-25,02:00,04:00,1,4,MEDIUM
B-000195,C17,2026-08-25,04:00,06:00,1,1,LOW
B-000196,C17,2026-08-25,06:00,08:00,1,3,MEDIUM
B-000197,C17,2026-08-25,08:00,10:00,0,7,HIGH
B-000198,C17,2026-08-25,10:00,12:00,0,5,MEDIUM
B-000199,C17,2026-08-25,12:00,14:00,1,4,MEDIUM
B-000200,C17,2026-08-25,14:00,16:00,1,2,LOW
B-000201,C17,2026-08-25,16:00,18:00,0,6,HIGH
B-000202,C17,2026-08-25,18:00,20:00,0,5,MEDIUM
B-000203,C17,2026-08-25,20:00,22:00,0,7,HIGH
B-000204,C17,2026-08-25,22:00,00:00,1,1,LOW
B-000205,C18,2026-08-25,00:00,02:00,1,2,LOW
B-000206,C18,2026-08-25,02:00,04:00,0,1,LOW
B-000207,C18,2026-08-25,04:00,06:00,1,2,LOW
B-000208,C18,2026-08-25,06:00,08:00,1,3,MEDIUM
B-000209,C18,2026-08-25,08:00,10:00,0,5,MEDIUM
B-000210,C18,2026-08-25,10:00,12:00,0,6,HIGH
B-000211,C18,2026-08-25,12:00,14:00,1,2,LOW
B-000212,C18,2026-08-25,14:00,16:00,1,1,LOW
B-000213,C18,2026-08-25,16:00,18:00,1,0,LOW
B-000214,C18,2026-08-25,18:00,20:00,1,4,MEDIUM
B-000215,C18,2026-08-25,20:00,22:00,0,10,HIGH
B-000216,C18,2026-08-25,22:00,00:00,1,1,LOW
B-000217,C19,2026-08-25,00:00,02:00,1,2,LOW
B-000218,C19,2026-08-25,02:00,04:00,1,3,MEDIUM
B-000219,C19,2026-08-25,04:00,06:00,1,3,MEDIUM
B-000220,C19,2026-08-25,06:00,08:00,1,1,LOW
B-000221,C19,2026-08-25,08:00,10:00,1,3,MEDIUM
B-000222,C19,2026-08-25,10:00,12:00,1,4,MEDIUM
B-000223,C19,2026-08-25,12:00,14:00,1,3,MEDIUM
B-000224,C19,2026-08-25,14:00,16:00,1,2,LOW
B-000225,C19,2026-08-25,16:00,18:00,0,5,MEDIUM
B-000226,C19,2026-08-25,18:00,20:00,0,8,HIGH
B-000227,C19,2026-08-25,20:00,22:00,0,6,HIGH
B-000228,C19,2026-08-25,22:00,00:00,1,2,LOW
B-000229,C20,2026-08-25,00:00,02:00,0,0,LOW
B-000230,C20,2026-08-25,02:00,04:00,0,5,MEDIUM
B-000231,C20,2026-08-25,04:00,06:00,1,4,MEDIUM
B-000232,C20,2026-08-25,06:00,08:00,1,3,MEDIUM
B-000233,C20,2026-08-25,08:00,10:00,1,3,MEDIUM
B-000234,C20,2026-08-25,10:00,12:00,0,5,MEDIUM
B-000235,C20,2026-08-25,12:00,14:00,1,4,MEDIUM
B-000236,C20,2026-08-25,14:00,16:00,1,3,MEDIUM
B-000237,C20,2026-08-25,16:00,18:00,1,1,LOW
B-000238,C20,2026-08-25,18:00,20:00,0,7,HIGH
B-000239,C20,2026-08-25,20:00,22:00,0,6,HIGH
B-000240,C20,2026-08-25,22:00,00:00,1,2,LOW
B-000241,C01,2026-08-26,00:00,02:00,1,2,LOW
B-000242,C01,2026-08-26,02:00,04:00,1,2,LOW
B-000243,C01,2026-08-26,04:00,06:00,0,5,MEDIUM
B-000244,C01,2026-08-26,06:00,08:00,1,3,MEDIUM
B-000245,C01,2026-08-26,08:00,10:00,0,8,HIGH
B-000246,C01,2026-08-26,10:00,12:00,1,4,MEDIUM
B-000247,C01,2026-08-26,12:00,14:00,1,4,MEDIUM
B-000248,C01,2026-08-26,14:00,16:00,1,2,LOW
B-000249,C01,2026-08-26,16:00,18:00,1,4,MEDIUM
B-000250,C01,2026-08-26,18:00,20:00,0,5,MEDIUM
B-000251,C01,2026-08-26,20:00,22:00,0,7,HIGH
B-000252,C01,2026-08-26,22:00,00:00,1,4,MEDIUM
B-000253,C02,2026-08-26,00:00,02:00,1,0,LOW
B-000254,C02,2026-08-26,02:00,04:00,1,1,LOW
B-000255,C02,2026-08-26,04:00,06:00,1,1,LOW
B-000256,C02,2026-08-26,06:00,08:00,1,2,LOW
B-000257,C02,2026-08-26,08:00,10:00,0,7,HIGH
B-000258,C02,2026-08-26,10:00,12:00,0,7,HIGH
B-000259,C02,2026-08-26,12:00,14:00,0,5,MEDIUM
B-000260,C02,2026-08-26,14:00,16:00,0,4,MEDIUM
B-000261,C02,2026-08-26,16:00,18:00,1,4,MEDIUM
B-000262,C02,2026-08-26,18:00,20:00,0,9,HIGH
B-000263,C02,2026-08-26,20:00,22:00,1,4,MEDIUM
B-000264,C02,2026-08-26,22:00,00:00,1,3,MEDIUM
B-000265,C03,2026-08-26,00:00,02:00,1,2,LOW
B-000266,C03,2026-08-26,02:00,04:00,1,0,LOW
B-000267,C03,2026-08-26,04:00,06:00,1,3,MEDIUM
B-000268,C03,2026-08-26,06:00,08:00,1,0,LOW
B-000269,C03,2026-08-26,08:00,10:00,0,6,HIGH
B-000270,C03,2026-08-26,10:00,12:00,0,5,MEDIUM
B-000271,C03,2026-08-26,12:00,14:00,0,5,MEDIUM
B-000272,C03,2026-08-26,14:00,16:00,1,2,LOW
B-000273,C03,2026-08-26,16:00,18:00,1,1,LOW
B-000274,C03,2026-08-26,18:00,20:00,0,7,HIGH
B-000275,C03,2026-08-26,20:00,22:00,1,3,MEDIUM
B-000276,C03,2026-08-26,22:00,00:00,1,1,LOW
B-000277,C04,2026-08-26,00:00,02:00,1,2,LOW
B-000278,C04,2026-08-26,02:00,04:00,1,0,LOW
B-000279,C04,2026-08-26,04:00,06:00,0,2,LOW
B-000280,C04,2026-08-26,06:00,08:00,1,2,LOW
B-000281,C04,2026-08-26,08:00,10:00,0,5,MEDIUM
B-000282,C04,2026-08-26,10:00,12:00,0,5,MEDIUM
B-000283,C04,2026-08-26,12:00,14:00,1,3,MEDIUM
B-000284,C04,2026-08-26,14:00,16:00,1,3,MEDIUM
B-000285,C04,2026-08-26,16:00,18:00,1,3,MEDIUM
B-000286,C04,2026-08-26,18:00,20:00,1,2,LOW
B-000287,C04,2026-08-26,20:00,22:00,0,7,HIGH
B-000288,C04,2026-08-26,22:00,00:00,1,2,LOW
B-000289,C05,2026-08-26,00:00,02:00,1,2,LOW
B-000290,C05,2026-08-26,02:00,04:00,1,2,LOW
B-000291,C05,2026-08-26,04:00,06:00,1,4,MEDIUM
B-000292,C05,2026-08-26,06:00,08:00,1,2,LOW
B-000293,C05,2026-08-26,08:00,10:00,0,6,HIGH
B-000294,C05,2026-08-26,10:00,12:00,0,6,HIGH
B-000295,C05,2026-08-26,12:00,14:00,1,4,MEDIUM
B-000296,C05,2026-08-26,14:00,16:00,0,5,MEDIUM
B-000297,C05,2026-08-26,16:00,18:00,1,4,MEDIUM
B-000298,C05,2026-08-26,18:00,20:00,0,9,HIGH
B-000299,C05,2026-08-26,20:00,22:00,0,6,HIGH
B-000300,C05,2026-08-26,22:00,00:00,1,0,LOW
B-000301,C06,2026-08-26,00:00,02:00,0,3,MEDIUM
B-000302,C06,2026-08-26,02:00,04:00,1,3,MEDIUM
B-000303,C06,2026-08-26,04:00,06:00,0,1,LOW
B-000304,C06,2026-08-26,06:00,08:00,1,2,LOW
B-000305,C06,2026-08-26,08:00,10:00,0,7,HIGH
B-000306,C06,2026-08-26,10:00,12:00,1,4,MEDIUM
B-000307,C06,2026-08-26,12:00,14:00,1,2,LOW
B-000308,C06,2026-08-26,14:00,16:00,1,1,LOW
B-000309,C06,2026-08-26,16:00,18:00,1,3,MEDIUM
B-000310,C06,2026-08-26,18:00,20:00,0,6,HIGH
B-000311,C06,2026-08-26,20:00,22:00,0,4,MEDIUM
B-000312,C06,2026-08-26,22:00,00:00,1,2,LOW
B-000313,C07,2026-08-26,00:00,02:00,1,1,LOW
B-000314,C07,2026-08-26,02:00,04:00,1,4,MEDIUM
B-000315,C07,2026-08-26,04:00,06:00,1,3,MEDIUM
B-000316,C07,2026-08-26,06:00,08:00,1,3,MEDIUM
B-000317,C07,2026-08-26,08:00,10:00,0,5,MEDIUM
B-000318,C07,2026-08-26,10:00,12:00,0,7,HIGH
B-000319,C07,2026-08-26,12:00,14:00,1,1,LOW
B-000320,C07,2026-08-26,14:00,16:00,1,1,LOW
B-000321,C07,2026-08-26,16:00,18:00,1,0,LOW
B-000322,C07,2026-08-26,18:00,20:00,0,7,HIGH
B-000323,C07,2026-08-26,20:00,22:00,0,6,HIGH
B-000324,C07,2026-08-26,22:00,00:00,1,2,LOW
B-000325,C08,2026-08-26,00:00,02:00,1,2,LOW
B-000326,C08,2026-08-26,02:00,04:00,1,4,MEDIUM
B-000327,C08,2026-08-26,04:00,06:00,0,5,MEDIUM
B-000328,C08,2026-08-26,06:00,08:00,1,3,MEDIUM
B-000329,C08,2026-08-26,08:00,10:00,0,6,HIGH
B-000330,C08,2026-08-26,10:00,12:00,1,3,MEDIUM
B-000331,C08,2026-08-26,12:00,14:00,1,0,LOW
B-000332,C08,2026-08-26,14:00,16:00,1,2,LOW
B-000333,C08,2026-08-26,16:00,18:00,1,2,LOW
B-000334,C08,2026-08-26,18:00,20:00,0,10,HIGH
B-000335,C08,2026-08-26,20:00,22:00,0,6,HIGH
B-000336,C08,2026-08-26,22:00,00:00,1,0,LOW
B-000337,C09,2026-08-26,00:00,02:00,1,3,MEDIUM
B-000338,C09,2026-08-26,02:00,04:00,1,2,LOW
B-000339,C09,2026-08-26,04:00,06:00,1,4,MEDIUM
B-000340,C09,2026-08-26,06:00,08:00,0,5,MEDIUM
B-000341,C09,2026-08-26,08:00,10:00,1,3,MEDIUM
B-000342,C09,2026-08-26,10:00,12:00,0,8,HIGH
B-000343,C09,2026-08-26,12:00,14:00,1,4,MEDIUM
B-000344,C09,2026-08-26,14:00,16:00,1,2,LOW
B-000345,C09,2026-08-26,16:00,18:00,1,2,LOW
B-000346,C09,2026-08-26,18:00,20:00,0,5,MEDIUM
B-000347,C09,2026-08-26,20:00,22:00,1,3,MEDIUM
B-000348,C09,2026-08-26,22:00,00:00,1,1,LOW
B-000349,C10,2026-08-26,00:00,02:00,1,1,LOW
B-000350,C10,2026-08-26,02:00,04:00,1,2,LOW
B-000351,C10,2026-08-26,04:00,06:00,1,3,MEDIUM
B-000352,C10,2026-08-26,06:00,08:00,1,3,MEDIUM
B-000353,C10,2026-08-26,08:00,10:00,0,11,HIGH
B-000354,C10,2026-08-26,10:00,12:00,0,5,MEDIUM
B-000355,C10,2026-08-26,12:00,14:00,1,3,MEDIUM
B-000356,C10,2026-08-26,14:00,16:00,0,3,MEDIUM
B-000357,C10,2026-08-26,16:00,18:00,0,3,MEDIUM
B-000358,C10,2026-08-26,18:00,20:00,0,6,HIGH
B-000359,C10,2026-08-26,20:00,22:00,0,9,HIGH
B-000360,C10,2026-08-26,22:00,00:00,1,3,MEDIUM
B-000361,C11,2026-08-26,00:00,02:00,1,2,LOW
B-000362,C11,2026-08-26,02:00,04:00,1,1,LOW
B-000363,C11,2026-08-26,04:00,06:00,1,3,MEDIUM
B-000364,C11,2026-08-26,06:00,08:00,1,1,LOW
B-000365,C11,2026-08-26,08:00,10:00,1,2,LOW
B-000366,C11,2026-08-26,10:00,12:00,0,8,HIGH
B-000367,C11,2026-08-26,12:00,14:00,1,4,MEDIUM
B-000368,C11,2026-08-26,14:00,16:00,1,1,LOW
B-000369,C11,2026-08-26,16:00,18:00,1,2,LOW
B-000370,C11,2026-08-26,18:00,20:00,0,9,HIGH
B-000371,C11,2026-08-26,20:00,22:00,0,8,HIGH
B-000372,C11,2026-08-26,22:00,00:00,0,5,MEDIUM
B-000373,C12,2026-08-26,00:00,02:00,1,2,LOW
B-000374,C12,2026-08-26,02:00,04:00,1,2,LOW
B-000375,C12,2026-08-26,04:00,06:00,1,3,MEDIUM
B-000376,C12,2026-08-26,06:00,08:00,1,2,LOW
B-000377,C12,2026-08-26,08:00,10:00,0,6,HIGH
B-000378,C12,2026-08-26,10:00,12:00,1,4,MEDIUM
B-000379,C12,2026-08-26,12:00,14:00,1,2,LOW
B-000380,C12,2026-08-26,14:00,16:00,1,3,MEDIUM
B-000381,C12,2026-08-26,16:00,18:00,1,3,MEDIUM
B-000382,C12,2026-08-26,18:00,20:00,0,8,HIGH
B-000383,C12,2026-08-26,20:00,22:00,0,6,HIGH
B-000384,C12,2026-08-26,22:00,00:00,0,5,MEDIUM
B-000385,C13,2026-08-26,00:00,02:00,1,2,LOW
B-000386,C13,2026-08-26,02:00,04:00,1,2,LOW
B-000387,C13,2026-08-26,04:00,06:00,0,2,LOW
B-000388,C13,2026-08-26,06:00,08:00,1,3,MEDIUM
B-000389,C13,2026-08-26,08:00,10:00,0,4,MEDIUM
B-000390,C13,2026-08-26,10:00,12:00,1,3,MEDIUM
B-000391,C13,2026-08-26,12:00,14:00,0,3,MEDIUM
B-000392,C13,2026-08-26,14:00,16:00,1,3,MEDIUM
B-000393,C13,2026-08-26,16:00,18:00,1,2,LOW
B-000394,C13,2026-08-26,18:00,20:00,0,6,HIGH
B-000395,C13,2026-08-26,20:00,22:00,1,4,MEDIUM
B-000396,C13,2026-08-26,22:00,00:00,1,3,MEDIUM
B-000397,C14,2026-08-26,00:00,02:00,1,2,LOW
B-000398,C14,2026-08-26,02:00,04:00,1,1,LOW
B-000399,C14,2026-08-26,04:00,06:00,1,3,MEDIUM
B-000400,C14,2026-08-26,06:00,08:00,1,2,LOW
B-000401,C14,2026-08-26,08:00,10:00,0,6,HIGH
B-000402,C14,2026-08-26,10:00,12:00,0,6,HIGH
B-000403,C14,2026-08-26,12:00,14:00,1,4,MEDIUM
B-000404,C14,2026-08-26,14:00,16:00,1,2,LOW
B-000405,C14,2026-08-26,16:00,18:00,1,4,MEDIUM
B-000406,C14,2026-08-26,18:00,20:00,0,7,HIGH
B-000407,C14,2026-08-26,20:00,22:00,0,5,MEDIUM
B-000408,C14,2026-08-26,22:00,00:00,1,2,LOW
B-000409,C15,2026-08-26,00:00,02:00,1,4,MEDIUM
B-000410,C15,2026-08-26,02:00,04:00,1,2,LOW
B-000411,C15,2026-08-26,04:00,06:00,1,3,MEDIUM
B-000412,C15,2026-08-26,06:00,08:00,1,2,LOW
B-000413,C15,2026-08-26,08:00,10:00,0,7,HIGH
B-000414,C15,2026-08-26,10:00,12:00,0,5,MEDIUM
B-000415,C15,2026-08-26,12:00,14:00,0,5,MEDIUM
B-000416,C15,2026-08-26,14:00,16:00,1,3,MEDIUM
B-000417,C15,2026-08-26,16:00,18:00,1,2,LOW
B-000418,C15,2026-08-26,18:00,20:00,0,5,MEDIUM
B-000419,C15,2026-08-26,20:00,22:00,0,6,HIGH
B-000420,C15,2026-08-26,22:00,00:00,1,4,MEDIUM
B-000421,C16,2026-08-26,00:00,02:00,1,2,LOW
B-000422,C16,2026-08-26,02:00,04:00,0,3,MEDIUM
B-000423,C16,2026-08-26,04:00,06:00,1,4,MEDIUM
B-000424,C16,2026-08-26,06:00,08:00,1,2,LOW
B-000425,C16,2026-08-26,08:00,10:00,0,8,HIGH
B-000426,C16,2026-08-26,10:00,12:00,1,3,MEDIUM
B-000427,C16,2026-08-26,12:00,14:00,1,3,MEDIUM
B-000428,C16,2026-08-26,14:00,16:00,1,0,LOW
