movement_id,day,corridor_id,subsection_id,from_station,to_station,train_no,train_type,entry_time,exit_time,minimum_maintenance_buffer_minutes,line_id,movement_status,direction,movement_source
TM-00019,Monday,C01,C01-S02,ST01,ST02,12032,Passenger,07:18,07:28,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00020,Monday,C01,C01-S02,ST01,ST02,12034,Express,08:37,08:40,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00021,Monday,C01,C01-S02,ST01,ST02,12037,Express,09:31,09:39,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00022,Monday,C01,C01-S02,ST01,ST02,12040,Express,10:43,10:49,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00023,Monday,C01,C01-S02,ST01,ST02,12041,MEMU,11:37,11:42,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00024,Monday,C01,C01-S02,ST01,ST02,12042,Special,13:49,13:54,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00025,Monday,C01,C01-S02,ST01,ST02,12044,Express,14:37,14:47,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00026,Monday,C01,C01-S02,ST01,ST02,12045,MEMU,15:18,15:24,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00027,Monday,C01,C01-S02,ST01,ST02,12048,Passenger,16:55,17:03,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00028,Monday,C01,C01-S02,ST01,ST02,12051,Special,17:43,17:49,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00029,Monday,C01,C01-S02,ST01,ST02,12054,Special,18:49,18:59,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00030,Monday,C01,C01-S02,ST01,ST02,12057,Express,19:37,19:45,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00031,Monday,C01,C01-S02,ST01,ST02,12059,Passenger,21:03,21:08,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00032,Monday,C01,C01-S02,ST01,ST02,12062,Passenger,22:55,22:59,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00033,Monday,C01,C01-S03,ST01,ST02,12063,Express,05:24,05:27,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00034,Monday,C01,C01-S03,ST01,ST02,12066,MEMU,06:49,06:54,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00035,Monday,C01,C01-S03,ST01,ST02,12068,Express,07:37,07:42,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00036,Monday,C01,C01-S03,ST01,ST02,12070,Express,08:24,08:28,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00037,Monday,C01,C01-S03,ST01,ST02,12072,Express,09:03,09:07,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00038,Monday,C01,C01-S03,ST01,ST02,12073,Passenger,10:03,10:08,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00039,Monday,C01,C01-S03,ST01,ST02,12074,Express,11:03,11:07,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00040,Monday,C01,C01-S03,ST01,ST02,12075,Express,13:07,13:17,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00041,Monday,C01,C01-S03,ST01,ST02,12078,Passenger,14:07,14:11,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00042,Monday,C01,C01-S03,ST01,ST02,12079,MEMU,15:31,15:35,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00043,Monday,C01,C01-S03,ST01,ST02,12080,Express,16:18,16:22,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00044,Monday,C01,C01-S03,ST01,ST02,12083,Passenger,17:31,17:41,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00045,Monday,C01,C01-S03,ST01,ST02,12084,Express,18:55,19:05,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00046,Monday,C01,C01-S03,ST01,ST02,12085,Passenger,19:31,19:36,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00047,Monday,C01,C01-S03,ST01,ST02,12087,MEMU,21:43,21:49,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00048,Monday,C01,C01-S03,ST01,ST02,12090,Express,22:07,22:10,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00049,Monday,C01,C01-S04,ST01,ST02,12091,MEMU,05:55,06:00,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00050,Monday,C01,C01-S04,ST01,ST02,12092,Express,06:07,06:10,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00051,Monday,C01,C01-S04,ST01,ST02,12095,Special,07:37,07:45,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00052,Monday,C01,C01-S04,ST01,ST02,12096,Freight,08:43,08:49,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00053,Monday,C01,C01-S04,ST01,ST02,12097,MEMU,09:07,09:17,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00054,Monday,C01,C01-S04,ST01,ST02,12098,Express,10:49,10:59,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00055,Monday,C01,C01-S04,ST01,ST02,12099,Express,11:07,11:17,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00056,Monday,C01,C01-S04,ST01,ST02,12101,Freight,13:43,13:51,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00057,Monday,C01,C01-S04,ST01,ST02,12102,Express,14:31,14:39,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00058,Monday,C01,C01-S04,ST01,ST02,12103,Special,15:12,15:15,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00059,Monday,C01,C01-S04,ST01,ST02,12106,MEMU,16:55,17:01,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00060,Monday,C01,C01-S04,ST01,ST02,12107,Special,17:03,17:09,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00061,Monday,C01,C01-S04,ST01,ST02,12108,Passenger,18:55,19:05,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00062,Monday,C01,C01-S04,ST01,ST02,12109,Passenger,19:03,19:11,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00063,Monday,C01,C01-S04,ST01,ST02,12112,Express,21:55,22:00,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00064,Monday,C01,C01-S04,ST01,ST02,12113,Express,22:07,22:10,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00065,Monday,C02,C02-S01,ST02,ST03,12114,Special,05:07,05:17,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00066,Monday,C02,C02-S01,ST02,ST03,12115,Passenger,06:18,06:21,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00067,Monday,C02,C02-S01,ST02,ST03,12117,Express,07:03,07:06,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00068,Monday,C02,C02-S01,ST02,ST03,12118,Express,08:03,08:13,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00069,Monday,C02,C02-S01,ST02,ST03,12119,MEMU,09:07,09:11,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00070,Monday,C02,C02-S01,ST02,ST03,12120,Express,10:18,10:24,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00071,Monday,C02,C02-S01,ST02,ST03,12122,MEMU,11:18,11:22,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00072,Monday,C02,C02-S01,ST02,ST03,12124,Passenger,13:31,13:41,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00073,Monday,C02,C02-S01,ST02,ST03,12126,Express,14:43,14:46,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00074,Monday,C02,C02-S01,ST02,ST03,12128,MEMU,15:49,15:53,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00075,Monday,C02,C02-S01,ST02,ST03,12129,Express,16:18,16:23,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00076,Monday,C02,C02-S01,ST02,ST03,12132,Passenger,17:24,17:32,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00077,Monday,C02,C02-S01,ST02,ST03,12133,Freight,18:55,18:59,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00078,Monday,C02,C02-S01,ST02,ST03,12134,Express,19:24,19:34,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00079,Monday,C02,C02-S01,ST02,ST03,12135,Passenger,21:24,21:29,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00080,Monday,C02,C02-S01,ST02,ST03,12136,Passenger,22:49,22:59,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00081,Monday,C02,C02-S02,ST02,ST03,12137,Freight,05:37,05:41,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00082,Monday,C02,C02-S02,ST02,ST03,12140,Freight,06:43,06:46,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00083,Monday,C02,C02-S02,ST02,ST03,12141,Passenger,07:24,07:30,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00084,Monday,C02,C02-S02,ST02,ST03,12143,MEMU,08:31,08:36,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00085,Monday,C02,C02-S02,ST02,ST03,12144,Passenger,09:24,09:27,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00086,Monday,C02,C02-S02,ST02,ST03,12145,Express,10:12,10:22,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00087,Monday,C02,C02-S02,ST02,ST03,12146,Express,11:37,11:40,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00088,Monday,C02,C02-S02,ST02,ST03,12147,Express,13:12,13:22,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00089,Monday,C02,C02-S02,ST02,ST03,12148,Passenger,14:07,14:12,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00090,Monday,C02,C02-S02,ST02,ST03,12149,Express,15:31,15:35,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00091,Monday,C02,C02-S02,ST02,ST03,12150,Passenger,16:55,17:01,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00092,Monday,C02,C02-S02,ST02,ST03,12151,Passenger,17:31,17:34,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00093,Monday,C02,C02-S02,ST02,ST03,12152,MEMU,18:31,18:37,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00094,Monday,C02,C02-S02,ST02,ST03,12154,Express,19:03,19:13,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00095,Monday,C02,C02-S02,ST02,ST03,12157,Express,21:31,21:41,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00096,Monday,C02,C02-S02,ST02,ST03,12159,Freight,22:49,22:55,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00097,Monday,C02,C02-S03,ST02,ST03,12160,Passenger,05:07,05:11,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00098,Monday,C02,C02-S03,ST02,ST03,12162,Express,06:18,06:22,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00099,Monday,C02,C02-S03,ST02,ST03,12165,Express,07:07,07:13,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00100,Monday,C02,C02-S03,ST02,ST03,12167,Passenger,08:12,08:22,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00101,Monday,C02,C02-S03,ST02,ST03,12168,Passenger,09:18,09:23,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00102,Monday,C02,C02-S03,ST02,ST03,12169,Passenger,10:18,10:26,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00103,Monday,C02,C02-S03,ST02,ST03,12170,Special,11:55,12:03,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00104,Monday,C02,C02-S03,ST02,ST03,12171,Special,13:24,13:28,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00105,Monday,C02,C02-S03,ST02,ST03,12172,Passenger,14:18,14:26,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00106,Monday,C02,C02-S03,ST02,ST03,12173,MEMU,15:37,15:41,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00107,Monday,C02,C02-S03,ST02,ST03,12175,Passenger,16:24,16:30,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00108,Monday,C02,C02-S03,ST02,ST03,12176,Express,17:18,17:28,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00109,Monday,C02,C02-S03,ST02,ST03,12177,Passenger,18:07,18:11,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00110,Monday,C02,C02-S03,ST02,ST03,12178,Special,19:03,19:09,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00111,Monday,C02,C02-S03,ST02,ST03,12181,Passenger,21:43,21:53,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00112,Monday,C02,C02-S03,ST02,ST03,12182,Express,22:55,23:00,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00113,Monday,C02,C02-S04,ST02,ST03,12183,Passenger,05:31,05:37,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00114,Monday,C02,C02-S04,ST02,ST03,12185,Express,06:49,06:55,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00115,Monday,C02,C02-S04,ST02,ST03,12187,Passenger,07:07,07:10,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00116,Monday,C02,C02-S04,ST02,ST03,12188,Express,08:37,08:42,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00117,Monday,C02,C02-S04,ST02,ST03,12189,Passenger,09:18,09:28,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00118,Monday,C02,C02-S04,ST02,ST03,12191,Express,10:43,10:51,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00119,Monday,C02,C02-S04,ST02,ST03,12192,Passenger,11:43,11:53,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00120,Monday,C02,C02-S04,ST02,ST03,12193,Freight,13:03,13:09,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00121,Monday,C02,C02-S04,ST02,ST03,12195,Passenger,14:43,14:49,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00122,Monday,C02,C02-S04,ST02,ST03,12196,Passenger,15:12,15:22,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00123,Monday,C02,C02-S04,ST02,ST03,12199,Express,16:18,16:23,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00124,Monday,C02,C02-S04,ST02,ST03,12202,Freight,17:37,17:45,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00125,Monday,C02,C02-S04,ST02,ST03,12203,Special,18:03,18:07,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00126,Monday,C02,C02-S04,ST02,ST03,12206,MEMU,19:49,19:54,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00127,Monday,C02,C02-S04,ST02,ST03,12209,Passenger,21:12,21:22,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00128,Monday,C02,C02-S04,ST02,ST03,12211,Special,22:31,22:41,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00129,Monday,C03,C03-S01,ST03,ST04,12212,Passenger,05:18,05:28,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00130,Monday,C03,C03-S01,ST03,ST04,12213,Freight,06:03,06:06,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00131,Monday,C03,C03-S01,ST03,ST04,12214,Express,07:37,07:42,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00132,Monday,C03,C03-S01,ST03,ST04,12215,Passenger,08:18,08:23,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00133,Monday,C03,C03-S01,ST03,ST04,12216,Special,09:18,09:22,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00134,Monday,C03,C03-S01,ST03,ST04,12217,MEMU,10:07,10:15,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00135,Monday,C03,C03-S01,ST03,ST04,12218,Passenger,11:03,11:08,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00136,Monday,C03,C03-S01,ST03,ST04,12221,Express,13:18,13:24,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00137,Monday,C03,C03-S01,ST03,ST04,12224,Express,14:07,14:15,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00138,Monday,C03,C03-S01,ST03,ST04,12225,Express,15:24,15:27,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00139,Monday,C03,C03-S01,ST03,ST04,12226,Express,16:37,16:42,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00140,Monday,C03,C03-S01,ST03,ST04,12227,Express,17:43,17:47,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00141,Monday,C03,C03-S01,ST03,ST04,12229,Passenger,18:24,18:32,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00142,Monday,C03,C03-S01,ST03,ST04,12230,MEMU,19:18,19:24,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00143,Monday,C03,C03-S01,ST03,ST04,12231,Passenger,21:49,21:55,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00144,Monday,C03,C03-S01,ST03,ST04,12232,Freight,22:12,22:22,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00145,Monday,C03,C03-S02,ST03,ST04,12233,Express,05:24,05:29,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00146,Monday,C03,C03-S02,ST03,ST04,12235,Express,06:03,06:11,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00147,Monday,C03,C03-S02,ST03,ST04,12236,MEMU,07:24,07:30,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00148,Monday,C03,C03-S02,ST03,ST04,12238,Passenger,08:43,08:48,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00149,Monday,C03,C03-S02,ST03,ST04,12239,Freight,09:49,09:53,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00150,Monday,C03,C03-S02,ST03,ST04,12242,Passenger,10:55,11:03,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00151,Monday,C03,C03-S02,ST03,ST04,12243,Freight,11:55,11:59,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00152,Monday,C03,C03-S02,ST03,ST04,12244,Passenger,13:12,13:15,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00153,Monday,C03,C03-S02,ST03,ST04,12245,Passenger,14:49,14:54,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00154,Monday,C03,C03-S02,ST03,ST04,12246,Express,15:03,15:11,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00155,Monday,C03,C03-S02,ST03,ST04,12247,Express,16:07,16:17,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00156,Monday,C03,C03-S02,ST03,ST04,12250,MEMU,17:24,17:28,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00157,Monday,C03,C03-S02,ST03,ST04,12252,Special,18:55,19:03,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00158,Monday,C03,C03-S02,ST03,ST04,12255,Express,19:24,19:29,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00159,Monday,C03,C03-S02,ST03,ST04,12256,MEMU,21:12,21:20,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00160,Monday,C03,C03-S02,ST03,ST04,12257,Express,22:49,22:52,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00161,Monday,C03,C03-S03,ST03,ST04,12259,Express,05:37,05:43,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00162,Monday,C03,C03-S03,ST03,ST04,12260,Passenger,06:12,06:15,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00163,Monday,C03,C03-S03,ST03,ST04,12262,Express,07:49,07:52,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00164,Monday,C03,C03-S03,ST03,ST04,12263,Passenger,08:37,08:42,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00165,Monday,C03,C03-S03,ST03,ST04,12264,Passenger,09:18,09:22,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00166,Monday,C03,C03-S03,ST03,ST04,12265,Express,10:24,10:30,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00167,Monday,C03,C03-S03,ST03,ST04,12266,MEMU,11:55,12:05,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
TM-00168,Monday,C03,C03-S03,ST03,ST04,12268,Express,13:43,13:47,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00169,Monday,C03,C03-S03,ST03,ST04,12270,MEMU,14:03,14:06,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00170,Monday,C03,C03-S03,ST03,ST04,12273,Passenger,15:24,15:34,15,LINE-01,SCHEDULED,UP,SYNTHETIC_CONTROL_CHART
TM-00171,Monday,C03,C03-S03,ST03,ST04,12275,Passenger,16:03,16:06,15,LINE-01,SCHEDULED,DOWN,SYNTHETIC_CONTROL_CHART
