train_no,train_name,train_type,sequence,station_id,arrival,departure
12010,SIM-12010,Superfast,7,ST07,12:59,13:03
12011,SIM-12011,Superfast,1,ST01,18:57,19:00
12011,SIM-12011,Superfast,2,ST02,19:36,19:39
12011,SIM-12011,Superfast,3,ST09,20:19,20:24
12011,SIM-12011,Superfast,4,ST10,20:42,20:45
12011,SIM-12011,Superfast,5,ST11,21:13,21:20
12011,SIM-12011,Superfast,6,ST12,21:02,21:08
12012,SIM-12012,Superfast,1,ST13,10:20,10:23
12012,SIM-12012,Superfast,2,ST14,10:57,10:59
12012,SIM-12012,Superfast,3,ST15,11:32,11:34
12012,SIM-12012,Superfast,4,ST05,12:11,12:16
12012,SIM-12012,Superfast,5,ST06,12:04,12:10
12012,SIM-12012,Superfast,6,ST07,13:05,13:11
12013,SIM-12013,Superfast,1,ST01,00:52,00:55
12013,SIM-12013,Superfast,2,ST17,01:30,01:32
12013,SIM-12013,Superfast,3,ST18,02:08,02:10
12013,SIM-12013,Superfast,4,ST19,02:16,02:21
12013,SIM-12013,Superfast,5,ST20,03:32,03:35
12014,SIM-12014,Passenger,1,ST13,06:17,06:21
12014,SIM-12014,Passenger,2,ST16,06:48,06:53
12014,SIM-12014,Passenger,3,ST03,07:29,07:32
12014,SIM-12014,Passenger,4,ST04,07:32,07:34
12015,SIM-12015,Superfast,1,ST01,20:07,20:13
12015,SIM-12015,Superfast,2,ST02,20:33,20:35
12015,SIM-12015,Superfast,3,ST03,21:07,21:11
12015,SIM-12015,Superfast,4,ST04,22:01,22:05
12015,SIM-12015,Superfast,5,ST05,22:19,22:26
12015,SIM-12015,Superfast,6,ST06,22:27,22:32
12015,SIM-12015,Superfast,7,ST07,23:37,23:41
12016,SIM-12016,Superfast,1,ST01,16:57,17:02
12016,SIM-12016,Superfast,2,ST02,17:32,17:39
12016,SIM-12016,Superfast,3,ST09,18:03,18:06
12016,SIM-12016,Superfast,4,ST10,18:12,18:16
12016,SIM-12016,Superfast,5,ST11,19:41,19:43
12016,SIM-12016,Superfast,6,ST12,20:27,20:32
12017,SIM-12017,Passenger,1,ST13,02:56,02:58
12017,SIM-12017,Passenger,2,ST14,03:34,03:40
12017,SIM-12017,Passenger,3,ST15,03:50,03:53
12017,SIM-12017,Passenger,4,ST05,04:23,04:28
12017,SIM-12017,Passenger,5,ST06,05:32,05:38
12017,SIM-12017,Passenger,6,ST07,06:31,06:37
12018,SIM-12018,MEMU,1,ST01,06:44,06:51
12018,SIM-12018,MEMU,2,ST17,07:13,07:16
12018,SIM-12018,MEMU,3,ST18,07:34,07:36
12018,SIM-12018,MEMU,4,ST19,08:32,08:37
12018,SIM-12018,MEMU,5,ST20,08:52,08:55
12019,SIM-12019,Intercity,1,ST13,17:25,17:28
12019,SIM-12019,Intercity,2,ST16,17:54,18:01
12019,SIM-12019,Intercity,3,ST03,18:39,18:42
12019,SIM-12019,Intercity,4,ST04,19:16,19:21
12020,SIM-12020,MEMU,1,ST01,19:00,19:03
12020,SIM-12020,MEMU,2,ST02,19:28,19:33
12020,SIM-12020,MEMU,3,ST03,19:50,19:53
12020,SIM-12020,MEMU,4,ST04,20:39,20:46
12020,SIM-12020,MEMU,5,ST05,21:56,21:58
12020,SIM-12020,MEMU,6,ST06,22:30,22:32
12020,SIM-12020,MEMU,7,ST07,22:54,23:01
12021,SIM-12021,MEMU,1,ST01,18:42,18:47
12021,SIM-12021,MEMU,2,ST02,19:16,19:19
12021,SIM-12021,MEMU,3,ST09,19:32,19:38
12021,SIM-12021,MEMU,4,ST10,20:15,20:20
12021,SIM-12021,MEMU,5,ST11,20:54,20:58
12021,SIM-12021,MEMU,6,ST12,22:12,22:14
12022,SIM-12022,Superfast,1,ST13,15:28,15:30
12022,SIM-12022,Superfast,2,ST14,16:11,16:18
12022,SIM-12022,Superfast,3,ST15,16:26,16:28
12022,SIM-12022,Superfast,4,ST05,16:49,16:51
12022,SIM-12022,Superfast,5,ST06,18:12,18:19
12022,SIM-12022,Superfast,6,ST07,17:48,17:54
12023,SIM-12023,Passenger,1,ST01,03:45,03:52
12023,SIM-12023,Passenger,2,ST17,04:10,04:13
12023,SIM-12023,Passenger,3,ST18,04:45,04:48
12023,SIM-12023,Passenger,4,ST19,05:57,06:03
12023,SIM-12023,Passenger,5,ST20,05:49,05:56
12024,SIM-12024,Express,1,ST13,10:29,10:36
12024,SIM-12024,Express,2,ST16,10:54,10:57
12024,SIM-12024,Express,3,ST03,11:27,11:30
12024,SIM-12024,Express,4,ST04,11:50,11:52
12025,SIM-12025,Express,1,ST01,14:13,14:18
12025,SIM-12025,Express,2,ST02,14:56,15:02
12025,SIM-12025,Express,3,ST03,15:33,15:38
12025,SIM-12025,Express,4,ST04,15:52,15:55
12025,SIM-12025,Express,5,ST05,17:01,17:07
12025,SIM-12025,Express,6,ST06,16:18,16:24
12025,SIM-12025,Express,7,ST07,16:49,16:55
12026,SIM-12026,Express,1,ST01,17:20,17:25
12026,SIM-12026,Express,2,ST02,18:03,18:05
12026,SIM-12026,Express,3,ST09,18:24,18:31
12026,SIM-12026,Express,4,ST10,18:53,18:55
12026,SIM-12026,Express,5,ST11,19:36,19:41
12026,SIM-12026,Express,6,ST12,20:30,20:33
12027,SIM-12027,Superfast,1,ST13,20:04,20:11
12027,SIM-12027,Superfast,2,ST14,20:38,20:40
12027,SIM-12027,Superfast,3,ST15,21:16,21:21
12027,SIM-12027,Superfast,4,ST05,21:25,21:30
12027,SIM-12027,Superfast,5,ST06,22:48,22:50
12027,SIM-12027,Superfast,6,ST07,23:19,23:21
12028,SIM-12028,MEMU,1,ST01,15:43,15:45
12028,SIM-12028,MEMU,2,ST17,16:19,16:22
12028,SIM-12028,MEMU,3,ST18,17:09,17:15
12028,SIM-12028,MEMU,4,ST19,17:46,17:50
12028,SIM-12028,MEMU,5,ST20,17:59,18:04
12029,SIM-12029,Express,1,ST13,16:28,16:30
12029,SIM-12029,Express,2,ST16,16:58,17:04
12029,SIM-12029,Express,3,ST03,17:28,17:34
12029,SIM-12029,Express,4,ST04,18:10,18:13
12030,SIM-12030,Passenger,1,ST01,07:01,07:08
12030,SIM-12030,Passenger,2,ST02,07:43,07:49
12030,SIM-12030,Passenger,3,ST03,08:15,08:18
12030,SIM-12030,Passenger,4,ST04,08:40,08:42
12030,SIM-12030,Passenger,5,ST05,09:09,09:16
12030,SIM-12030,Passenger,6,ST06,09:46,09:48
12030,SIM-12030,Passenger,7,ST07,10:49,10:56
12031,SIM-12031,Superfast,1,ST01,18:13,18:16
12031,SIM-12031,Superfast,2,ST02,18:43,18:46
12031,SIM-12031,Superfast,3,ST09,19:41,19:47
12031,SIM-12031,Superfast,4,ST10,20:16,20:22
12031,SIM-12031,Superfast,5,ST11,21:09,21:11
12031,SIM-12031,Superfast,6,ST12,21:43,21:45
12032,SIM-12032,Express,1,ST13,09:59,10:02
12032,SIM-12032,Express,2,ST14,10:40,10:43
12032,SIM-12032,Express,3,ST15,11:01,11:08
12032,SIM-12032,Express,4,ST05,11:20,11:27
12032,SIM-12032,Express,5,ST06,12:51,12:56
12032,SIM-12032,Express,6,ST07,12:19,12:21
12033,SIM-12033,Express,1,ST01,05:58,06:00
12033,SIM-12033,Express,2,ST17,06:33,06:35
12033,SIM-12033,Express,3,ST18,07:16,07:18
12033,SIM-12033,Express,4,ST19,07:22,07:25
12033,SIM-12033,Express,5,ST20,08:42,08:44
12034,SIM-12034,Passenger,1,ST13,09:00,09:06
12034,SIM-12034,Passenger,2,ST16,09:32,09:38
12034,SIM-12034,Passenger,3,ST03,10:02,10:09
12034,SIM-12034,Passenger,4,ST04,10:45,10:51
12035,SIM-12035,MEMU,1,ST01,18:22,18:24
12035,SIM-12035,MEMU,2,ST02,18:56,18:59
12035,SIM-12035,MEMU,3,ST03,19:46,19:49
12035,SIM-12035,MEMU,4,ST04,19:49,19:52
12035,SIM-12035,MEMU,5,ST05,20:50,20:55
12035,SIM-12035,MEMU,6,ST06,21:57,22:01
12035,SIM-12035,MEMU,7,ST07,21:22,21:24
12036,SIM-12036,Passenger,1,ST01,00:08,00:15
12036,SIM-12036,Passenger,2,ST02,00:35,00:37
12036,SIM-12036,Passenger,3,ST09,01:30,01:32
12036,SIM-12036,Passenger,4,ST10,01:26,01:30
12036,SIM-12036,Passenger,5,ST11,03:00,03:06
12036,SIM-12036,Passenger,6,ST12,02:18,02:25
12037,SIM-12037,MEMU,1,ST13,17:42,17:49
12037,SIM-12037,MEMU,2,ST14,18:13,18:19
12037,SIM-12037,MEMU,3,ST15,18:54,19:00
12037,SIM-12037,MEMU,4,ST05,19:33,19:38
12037,SIM-12037,MEMU,5,ST06,20:10,20:16
12037,SIM-12037,MEMU,6,ST07,20:57,20:59
12038,SIM-12038,Passenger,1,ST01,17:20,17:27
12038,SIM-12038,Passenger,2,ST17,18:02,18:09
12038,SIM-12038,Passenger,3,ST18,18:28,18:34
12038,SIM-12038,Passenger,4,ST19,18:56,19:02
12038,SIM-12038,Passenger,5,ST20,19:48,19:51
12039,SIM-12039,Express,1,ST13,05:35,05:39
12039,SIM-12039,Express,2,ST16,06:03,06:07
12039,SIM-12039,Express,3,ST03,06:49,06:52
12039,SIM-12039,Express,4,ST04,07:08,07:12
12040,SIM-12040,Superfast,1,ST01,10:36,10:40
12040,SIM-12040,Superfast,2,ST02,11:08,11:11
12040,SIM-12040,Superfast,3,ST03,11:52,11:55
12040,SIM-12040,Superfast,4,ST04,12:06,12:12
12040,SIM-12040,Superfast,5,ST05,13:28,13:34
12040,SIM-12040,Superfast,6,ST06,14:11,14:18
12040,SIM-12040,Superfast,7,ST07,14:00,14:06
12041,SIM-12041,Passenger,1,ST01,06:53,07:00
12041,SIM-12041,Passenger,2,ST02,07:27,07:32
12041,SIM-12041,Passenger,3,ST09,07:51,07:57
12041,SIM-12041,Passenger,4,ST10,08:41,08:46
12041,SIM-12041,Passenger,5,ST11,09:33,09:38
12041,SIM-12041,Passenger,6,ST12,09:03,09:06
12042,SIM-12042,Express,1,ST13,03:42,03:47
12042,SIM-12042,Express,2,ST14,04:20,04:25
12042,SIM-12042,Express,3,ST15,05:06,05:13
12042,SIM-12042,Express,4,ST05,05:03,05:10
12042,SIM-12042,Express,5,ST06,06:10,06:15
12042,SIM-12042,Express,6,ST07,05:52,05:57
12043,SIM-12043,Express,1,ST01,15:14,15:21
12043,SIM-12043,Express,2,ST17,15:53,15:55
12043,SIM-12043,Express,3,ST18,16:42,16:49
12043,SIM-12043,Express,4,ST19,16:38,16:44
12043,SIM-12043,Express,5,ST20,17:26,17:31
12044,SIM-12044,Intercity,1,ST13,09:20,09:27
12044,SIM-12044,Intercity,2,ST16,10:03,10:05
12044,SIM-12044,Intercity,3,ST03,10:20,10:26
12044,SIM-12044,Intercity,4,ST04,11:08,11:10
12045,SIM-12045,Passenger,1,ST01,01:59,02:02
12045,SIM-12045,Passenger,2,ST02,02:26,02:31
12045,SIM-12045,Passenger,3,ST03,02:49,02:54
12045,SIM-12045,Passenger,4,ST04,03:41,03:45
12045,SIM-12045,Passenger,5,ST05,04:31,04:36
12045,SIM-12045,Passenger,6,ST06,05:14,05:20
12045,SIM-12045,Passenger,7,ST07,06:17,06:23
12046,SIM-12046,Passenger,1,ST01,10:52,10:54
12046,SIM-12046,Passenger,2,ST02,11:35,11:42
12046,SIM-12046,Passenger,3,ST09,11:46,11:52
12046,SIM-12046,Passenger,4,ST10,12:13,12:19
12046,SIM-12046,Passenger,5,ST11,12:36,12:40
12046,SIM-12046,Passenger,6,ST12,14:02,14:08
12047,SIM-12047,Intercity,1,ST13,08:47,08:53
12047,SIM-12047,Intercity,2,ST14,09:26,09:30
12047,SIM-12047,Intercity,3,ST15,10:05,10:12
12047,SIM-12047,Intercity,4,ST05,10:50,10:56
12047,SIM-12047,Intercity,5,ST06,11:15,11:18
12047,SIM-12047,Intercity,6,ST07,12:07,12:11
12048,SIM-12048,Express,1,ST01,11:10,11:17
12048,SIM-12048,Express,2,ST17,11:37,11:39
12048,SIM-12048,Express,3,ST18,12:36,12:41
12048,SIM-12048,Express,4,ST19,12:49,12:55
12048,SIM-12048,Express,5,ST20,13:18,13:20
12049,SIM-12049,Passenger,1,ST13,15:19,15:26
12049,SIM-12049,Passenger,2,ST16,15:51,15:57
12049,SIM-12049,Passenger,3,ST03,16:33,16:37
12049,SIM-12049,Passenger,4,ST04,16:40,16:44
12050,SIM-12050,Intercity,1,ST01,13:41,13:48
12050,SIM-12050,Intercity,2,ST02,14:25,14:29
12050,SIM-12050,Intercity,3,ST03,14:35,14:38
12050,SIM-12050,Intercity,4,ST04,15:47,15:54
12050,SIM-12050,Intercity,5,ST05,16:09,16:11
12050,SIM-12050,Intercity,6,ST06,15:56,16:00
12050,SIM-12050,Intercity,7,ST07,17:17,17:19
12051,SIM-12051,Express,1,ST01,14:24,14:28
12051,SIM-12051,Express,2,ST02,15:03,15:09
12051,SIM-12051,Express,3,ST09,15:30,15:33
12051,SIM-12051,Express,4,ST10,16:36,16:40
12051,SIM-12051,Express,5,ST11,16:28,16:32
12051,SIM-12051,Express,6,ST12,16:29,16:32
12052,SIM-12052,Intercity,1,ST13,10:49,10:54
12052,SIM-12052,Intercity,2,ST14,11:16,11:20
12052,SIM-12052,Intercity,3,ST15,12:17,12:19
12052,SIM-12052,Intercity,4,ST05,12:55,13:01
12052,SIM-12052,Intercity,5,ST06,12:49,12:55
12052,SIM-12052,Intercity,6,ST07,14:14,14:16
12053,SIM-12053,MEMU,1,ST01,02:14,02:19
12053,SIM-12053,MEMU,2,ST17,02:41,02:46
12053,SIM-12053,MEMU,3,ST18,03:28,03:30
12053,SIM-12053,MEMU,4,ST19,04:08,04:15
12053,SIM-12053,MEMU,5,ST20,05:02,05:04
12054,SIM-12054,Express,1,ST13,05:09,05:16
12054,SIM-12054,Express,2,ST16,05:49,05:55
12054,SIM-12054,Express,3,ST03,06:05,06:07
12054,SIM-12054,Express,4,ST04,07:18,07:21
12055,SIM-12055,Express,1,ST01,13:46,13:48
12055,SIM-12055,Express,2,ST02,14:14,14:16
12055,SIM-12055,Express,3,ST03,15:08,15:13
12055,SIM-12055,Express,4,ST04,15:58,16:04
12055,SIM-12055,Express,5,ST05,16:42,16:45
12055,SIM-12055,Express,6,ST06,16:16,16:23
12055,SIM-12055,Express,7,ST07,16:40,16:42
12056,SIM-12056,MEMU,1,ST01,14:03,14:05
12056,SIM-12056,MEMU,2,ST02,14:43,14:50
12056,SIM-12056,MEMU,3,ST09,15:19,15:25
12056,SIM-12056,MEMU,4,ST10,16:06,16:10
12056,SIM-12056,MEMU,5,ST11,15:43,15:47
12056,SIM-12056,MEMU,6,ST12,16:28,16:30
12057,SIM-12057,Passenger,1,ST13,02:37,02:43
12057,SIM-12057,Passenger,2,ST14,03:12,03:17
12057,SIM-12057,Passenger,3,ST15,03:29,03:36
12057,SIM-12057,Passenger,4,ST05,04:16,04:18
12057,SIM-12057,Passenger,5,ST06,05:21,05:27
12057,SIM-12057,Passenger,6,ST07,04:47,04:50
12058,SIM-12058,Intercity,1,ST01,00:19,00:24
12058,SIM-12058,Intercity,2,ST17,01:03,01:09
12058,SIM-12058,Intercity,3,ST18,01:33,01:38
12058,SIM-12058,Intercity,4,ST19,01:37,01:39
12058,SIM-12058,Intercity,5,ST20,02:47,02:49
12059,SIM-12059,MEMU,1,ST13,00:53,00:59
12059,SIM-12059,MEMU,2,ST16,01:26,01:29
12059,SIM-12059,MEMU,3,ST03,01:57,01:59
12059,SIM-12059,MEMU,4,ST04,02:53,02:56
12060,SIM-12060,Superfast,1,ST01,07:54,07:59
12060,SIM-12060,Superfast,2,ST02,08:34,08:37
12060,SIM-12060,Superfast,3,ST03,09:08,09:15
12060,SIM-12060,Superfast,4,ST04,09:42,09:46
12060,SIM-12060,Superfast,5,ST05,09:42,09:45
12060,SIM-12060,Superfast,6,ST06,11:29,11:34
12060,SIM-12060,Superfast,7,ST07,11:00,11:04
12061,SIM-12061,Passenger,1,ST01,12:08,12:13
12061,SIM-12061,Passenger,2,ST02,12:41,12:48
12061,SIM-12061,Passenger,3,ST09,13:04,13:06
12061,SIM-12061,Passenger,4,ST10,13:50,13:55
12061,SIM-12061,Passenger,5,ST11,14:40,14:44
12061,SIM-12061,Passenger,6,ST12,15:43,15:47
12062,SIM-12062,Express,1,ST13,02:42,02:49
12062,SIM-12062,Express,2,ST14,03:12,03:14
12062,SIM-12062,Express,3,ST15,03:44,03:49
12062,SIM-12062,Express,4,ST05,04:21,04:27
12062,SIM-12062,Express,5,ST06,05:10,05:14
12062,SIM-12062,Express,6,ST07,05:47,05:54
12063,SIM-12063,Superfast,1,ST01,08:38,08:41
12063,SIM-12063,Superfast,2,ST17,09:21,09:26
12063,SIM-12063,Superfast,3,ST18,09:52,09:55
12063,SIM-12063,Superfast,4,ST19,10:47,10:49
12063,SIM-12063,Superfast,5,ST20,10:38,10:42
12064,SIM-12064,Express,1,ST13,10:01,10:03
12064,SIM-12064,Express,2,ST16,10:37,10:41
12064,SIM-12064,Express,3,ST03,11:13,11:18
12064,SIM-12064,Express,4,ST04,11:58,12:03
12065,SIM-12065,Passenger,1,ST01,13:36,13:39
12065,SIM-12065,Passenger,2,ST02,14:05,14:11
12065,SIM-12065,Passenger,3,ST03,14:38,14:43
12065,SIM-12065,Passenger,4,ST04,15:00,15:04
12065,SIM-12065,Passenger,5,ST05,15:56,16:01
12065,SIM-12065,Passenger,6,ST06,16:31,16:35
12065,SIM-12065,Passenger,7,ST07,18:00,18:05
12066,SIM-12066,MEMU,1,ST01,16:58,17:00
12066,SIM-12066,MEMU,2,ST02,17:41,17:48
12066,SIM-12066,MEMU,3,ST09,18:08,18:14
12066,SIM-12066,MEMU,4,ST10,18:43,18:46
12066,SIM-12066,MEMU,5,ST11,19:38,19:41
12066,SIM-12066,MEMU,6,ST12,19:33,19:38
12067,SIM-12067,Superfast,1,ST13,17:35,17:37
12067,SIM-12067,Superfast,2,ST14,18:01,18:03
12067,SIM-12067,Superfast,3,ST15,18:59,19:06
12067,SIM-12067,Superfast,4,ST05,19:38,19:40
12067,SIM-12067,Superfast,5,ST06,19:19,19:22
12067,SIM-12067,Superfast,6,ST07,20:35,20:39
12068,SIM-12068,Superfast,1,ST01,10:14,10:16
12068,SIM-12068,Superfast,2,ST17,10:53,11:00
12068,SIM-12068,Superfast,3,ST18,11:04,11:08
12068,SIM-12068,Superfast,4,ST19,12:17,12:23
12068,SIM-12068,Superfast,5,ST20,13:02,13:06
12069,SIM-12069,Express,1,ST13,07:49,07:54
12069,SIM-12069,Express,2,ST16,08:27,08:29
12069,SIM-12069,Express,3,ST03,08:59,09:03
12069,SIM-12069,Express,4,ST04,09:34,09:41
12070,SIM-12070,Intercity,1,ST01,01:36,01:40
12070,SIM-12070,Intercity,2,ST02,02:07,02:13
12070,SIM-12070,Intercity,3,ST03,02:52,02:54
12070,SIM-12070,Intercity,4,ST04,03:33,03:39
12070,SIM-12070,Intercity,5,ST05,03:44,03:51
12070,SIM-12070,Intercity,6,ST06,04:41,04:45
12070,SIM-12070,Intercity,7,ST07,04:06,04:12
12071,SIM-12071,Passenger,1,ST01,04:23,04:25
12071,SIM-12071,Passenger,2,ST02,05:02,05:04
12071,SIM-12071,Passenger,3,ST09,05:29,05:36
12071,SIM-12071,Passenger,4,ST10,06:32,06:39
12071,SIM-12071,Passenger,5,ST11,07:19,07:24
12071,SIM-12071,Passenger,6,ST12,06:48,06:55
12072,SIM-12072,Express,1,ST13,16:50,16:55
12072,SIM-12072,Express,2,ST14,17:23,17:30
12072,SIM-12072,Express,3,ST15,17:54,17:57
12072,SIM-12072,Express,4,ST05,18:08,18:15
12072,SIM-12072,Express,5,ST06,19:30,19:32
12072,SIM-12072,Express,6,ST07,19:35,19:39
12073,SIM-12073,Express,1,ST01,09:51,09:54
12073,SIM-12073,Express,2,ST17,10:20,10:27
12073,SIM-12073,Express,3,ST18,11:17,11:19
12073,SIM-12073,Express,4,ST19,11:42,11:45
12073,SIM-12073,Express,5,ST20,11:43,11:46
12074,SIM-12074,Passenger,1,ST13,04:04,04:10
12074,SIM-12074,Passenger,2,ST16,04:38,04:40
12074,SIM-12074,Passenger,3,ST03,04:56,04:59
12074,SIM-12074,Passenger,4,ST04,05:31,05:38
12075,SIM-12075,Passenger,1,ST01,17:42,17:47
12075,SIM-12075,Passenger,2,ST02,18:15,18:21
12075,SIM-12075,Passenger,3,ST03,19:02,19:08
12075,SIM-12075,Passenger,4,ST04,19:33,19:35
12075,SIM-12075,Passenger,5,ST05,20:18,20:22
12075,SIM-12075,Passenger,6,ST06,20:57,21:02
12075,SIM-12075,Passenger,7,ST07,21:54,21:58
12076,SIM-12076,Superfast,1,ST01,19:33,19:38
12076,SIM-12076,Superfast,2,ST02,20:13,20:19
12076,SIM-12076,Superfast,3,ST09,20:57,21:01
12076,SIM-12076,Superfast,4,ST10,21:18,21:22
12076,SIM-12076,Superfast,5,ST11,22:25,22:28
12076,SIM-12076,Superfast,6,ST12,22:33,22:35
12077,SIM-12077,Superfast,1,ST13,17:51,17:55
12077,SIM-12077,Superfast,2,ST14,18:32,18:37
12077,SIM-12077,Superfast,3,ST15,19:01,19:03
12077,SIM-12077,Superfast,4,ST05,19:06,19:10
12077,SIM-12077,Superfast,5,ST06,20:47,20:54
12077,SIM-12077,Superfast,6,ST07,20:56,21:01
12078,SIM-12078,Superfast,1,ST01,08:13,08:16
12078,SIM-12078,Superfast,2,ST17,08:41,08:44
12078,SIM-12078,Superfast,3,ST18,09:03,09:08
12078,SIM-12078,Superfast,4,ST19,10:22,10:28
12078,SIM-12078,Superfast,5,ST20,10:25,10:29
12079,SIM-12079,Passenger,1,ST13,06:27,06:29
12079,SIM-12079,Passenger,2,ST16,07:00,07:03
12079,SIM-12079,Passenger,3,ST03,07:23,07:29
12079,SIM-12079,Passenger,4,ST04,08:12,08:17
12080,SIM-12080,Passenger,1,ST01,14:58,15:05
12080,SIM-12080,Passenger,2,ST02,15:32,15:39
12080,SIM-12080,Passenger,3,ST03,16:18,16:23
12080,SIM-12080,Passenger,4,ST04,17:07,17:12
12080,SIM-12080,Passenger,5,ST05,17:34,17:37
12080,SIM-12080,Passenger,6,ST06,18:38,18:43
12080,SIM-12080,Passenger,7,ST07,18:58,19:02
12081,SIM-12081,Express,1,ST01,18:12,18:18
12081,SIM-12081,Express,2,ST02,18:53,18:57
12081,SIM-12081,Express,3,ST09,19:26,19:31
12081,SIM-12081,Express,4,ST10,20:24,20:29
12081,SIM-12081,Express,5,ST11,20:24,20:31
12081,SIM-12081,Express,6,ST12,20:27,20:34
12082,SIM-12082,Intercity,1,ST13,03:14,03:21
12082,SIM-12082,Intercity,2,ST14,03:53,03:58
12082,SIM-12082,Intercity,3,ST15,04:16,04:18
12082,SIM-12082,Intercity,4,ST05,04:35,04:38
12082,SIM-12082,Intercity,5,ST06,04:54,04:59
12082,SIM-12082,Intercity,6,ST07,06:34,06:41
12083,SIM-12083,MEMU,1,ST01,10:17,10:21
12083,SIM-12083,MEMU,2,ST17,10:48,10:55
12083,SIM-12083,MEMU,3,ST18,11:15,11:19
12083,SIM-12083,MEMU,4,ST19,11:35,11:41
12083,SIM-12083,MEMU,5,ST20,12:45,12:47
12084,SIM-12084,Intercity,1,ST13,04:39,04:42
12084,SIM-12084,Intercity,2,ST16,05:22,05:26
12084,SIM-12084,Intercity,3,ST03,06:01,06:04
12084,SIM-12084,Intercity,4,ST04,05:54,05:56
12085,SIM-12085,Express,1,ST01,07:49,07:51
12085,SIM-12085,Express,2,ST02,08:32,08:38
12085,SIM-12085,Express,3,ST03,09:09,09:15
12085,SIM-12085,Express,4,ST04,09:43,09:49
12085,SIM-12085,Express,5,ST05,09:29,09:36
12085,SIM-12085,Express,6,ST06,11:04,11:10
12085,SIM-12085,Express,7,ST07,11:01,11:07
12086,SIM-12086,Express,1,ST01,08:01,08:03
12086,SIM-12086,Express,2,ST02,08:38,08:41
12086,SIM-12086,Express,3,ST09,09:25,09:29
12086,SIM-12086,Express,4,ST10,09:16,09:23
12086,SIM-12086,Express,5,ST11,10:21,10:24
12086,SIM-12086,Express,6,ST12,11:11,11:16
